# wavenumber, intensity
2.009300000000000068e+02,6.243908140168744070e-03
2.019000000000000057e+02,5.104640101946343426e-03
2.028600000000000136e+02,3.594941861095015539e-03
2.038199999999999932e+02,2.592244295311800679e-03
2.047899999999999920e+02,2.612663306968252344e-03
2.057500000000000000e+02,3.678152153900917255e-03
2.067199999999999989e+02,5.033184842369591190e-03
2.076800000000000068e+02,5.916030706583514862e-03
2.086500000000000057e+02,5.950821994953324826e-03
2.096100000000000136e+02,5.132076033630842207e-03
2.105699999999999932e+02,4.132785396864484782e-03
2.115399999999999920e+02,3.469652610565065673e-03
2.125000000000000000e+02,3.406793642083839196e-03
2.134699999999999989e+02,3.993958680042882826e-03
2.144300000000000068e+02,5.547450624347818882e-03
2.154000000000000057e+02,6.963243974022617806e-03
2.163600000000000136e+02,8.244993844965811669e-03
2.173199999999999932e+02,1.071359594814668380e-02
2.182899999999999920e+02,1.590239396553925696e-02
2.192500000000000000e+02,2.435392442122792309e-02
2.202199999999999989e+02,3.535728983534770081e-02
2.211800000000000068e+02,4.691936904577046624e-02
2.221399999999999864e+02,5.649207245973935504e-02
2.231100000000000136e+02,6.197646105361208357e-02
2.240699999999999932e+02,6.331594821828898101e-02
2.250399999999999920e+02,6.119097213447929201e-02
2.260000000000000000e+02,5.648230292156593280e-02
2.269699999999999989e+02,4.981417571270291278e-02
2.279300000000000068e+02,4.366126190845818350e-02
2.288899999999999864e+02,4.017202509665736970e-02
2.298600000000000136e+02,3.979026854723068107e-02
2.308199999999999932e+02,4.137518997577611241e-02
2.317899999999999920e+02,4.306155215173457923e-02
2.327500000000000000e+02,4.264277063200107298e-02
2.337199999999999989e+02,3.908706486070877284e-02
2.346800000000000068e+02,3.349530159669920903e-02
2.356399999999999864e+02,2.773413950449268167e-02
2.366100000000000136e+02,2.272024555158856651e-02
2.375699999999999932e+02,1.894721832142635606e-02
2.385399999999999920e+02,1.687801659873856136e-02
2.395000000000000000e+02,1.643114483644912346e-02
2.404699999999999989e+02,1.710522040800093249e-02
2.414300000000000068e+02,1.796678988769297505e-02
