# wavenumber, intensity
2.009300000000000068e+02,2.119021422643409258e-02
2.019000000000000057e+02,2.185276928597364512e-02
2.028600000000000136e+02,2.249219545151818697e-02
2.038199999999999932e+02,2.351061576549715038e-02
2.047899999999999920e+02,2.520019879893628870e-02
2.057500000000000000e+02,2.740397213546198404e-02
2.067199999999999989e+02,2.947361130135202692e-02
2.076800000000000068e+02,3.049731917785399038e-02
2.086500000000000057e+02,2.995939632670029801e-02
2.096100000000000136e+02,2.795680747795959223e-02
2.105699999999999932e+02,2.523677576421034380e-02
2.115399999999999920e+02,2.280274193541363681e-02
2.125000000000000000e+02,2.111382962872125277e-02
2.134699999999999989e+02,2.018624807385426337e-02
2.144300000000000068e+02,1.945776057507742768e-02
2.154000000000000057e+02,1.842959236570769141e-02
2.163600000000000136e+02,1.704573776236420132e-02
2.173199999999999932e+02,1.537152555021205000e-02
2.182899999999999920e+02,1.357442501921674559e-02
2.192500000000000000e+02,1.219164357866861156e-02
2.202199999999999989e+02,1.212524163070820629e-02
2.211800000000000068e+02,1.391138695816781894e-02
2.221399999999999864e+02,1.752482669902023782e-02
2.231100000000000136e+02,2.231104333591195019e-02
2.240699999999999932e+02,2.694671535442301133e-02
2.250399999999999920e+02,3.032174527302823608e-02
2.260000000000000000e+02,3.196607660859825811e-02
2.269699999999999989e+02,3.208318549863731217e-02
2.279300000000000068e+02,3.079969397421427821e-02
2.288899999999999864e+02,2.782955943526023435e-02
2.298600000000000136e+02,2.335223482295480449e-02
2.308199999999999932e+02,1.843145922182070490e-02
2.317899999999999920e+02,1.438608263463081113e-02
2.327500000000000000e+02,1.188079526773635347e-02
2.337199999999999989e+02,1.068336916374217765e-02
2.346800000000000068e+02,1.013791181546309060e-02
2.356399999999999864e+02,9.532167311401051890e-03
2.366100000000000136e+02,8.870685414656867551e-03
2.375699999999999932e+02,8.603132515248626197e-03
2.385399999999999920e+02,8.999632631781735032e-03
2.395000000000000000e+02,9.753563031831098337e-03
2.404699999999999989e+02,1.041095349541818794e-02
2.414300000000000068e+02,1.086490135783832467e-02
2.423899999999999864e+02,1.137164659403229125e-02
2.433600000000000136e+02,1.206960484703814042e-02
2.443199999999999932e+02,1.291915852366204084e-02
2.452899999999999920e+02,1.371241586864815551e-02
2.462500000000000000e+02,1.451140792732173550e-02
2.472100000000000080e+02,1.537894825954630278e-02
2.481800000000000068e+02,1.631839049905725592e-02
2.491399999999999864e+02,1.725454617750757022e-02
2.501100000000000136e+02,1.800672150923535858e-02
2.510699999999999932e+02,1.833362254698051030e-02
2.520399999999999920e+02,1.835380024328840676e-02
2.530000000000000000e+02,1.832728417922072431e-02
2.539600000000000080e+02,1.874091018536248529e-02
2.549300000000000068e+02,1.989795853918263982e-02
2.558899999999999864e+02,2.174280363579053285e-02
2.568600000000000136e+02,2.386139467543791498e-02
2.578199999999999932e+02,2.581980498910482064e-02
2.587900000000000205e+02,2.733042694764558495e-02
2.597500000000000000e+02,2.844719816030405815e-02
2.607099999999999795e+02,2.957090021601555679e-02
2.616800000000000068e+02,3.106106500877039642e-02
2.626399999999999864e+02,3.313287285780928265e-02
2.636100000000000136e+02,3.592200060528630279e-02
