# wavenumber, intensity
2.009300000000000068e+02,2.755973703246966406e-03
2.019000000000000057e+02,1.973731569503262527e-03
2.028600000000000136e+02,1.378014921674164828e-03
2.038199999999999932e+02,1.254801434778289159e-03
2.047899999999999920e+02,1.694448601540955376e-03
2.057500000000000000e+02,2.464185527764000284e-03
2.067199999999999989e+02,3.138456212061519358e-03
2.076800000000000068e+02,3.241375052408691435e-03
2.086500000000000057e+02,2.707637076197372782e-03
2.096100000000000136e+02,1.804651620006340971e-03
2.105699999999999932e+02,1.026016487758390355e-03
2.115399999999999920e+02,7.684737739483875688e-04
2.125000000000000000e+02,1.058044415437550418e-03
2.134699999999999989e+02,1.851879480059036211e-03
2.144300000000000068e+02,2.804506820650410487e-03
2.154000000000000057e+02,3.593584011703550383e-03
2.163600000000000136e+02,4.237216235824087067e-03
2.173199999999999932e+02,4.732456137704140094e-03
2.182899999999999920e+02,5.267836211872872244e-03
2.192500000000000000e+02,6.297614086405075792e-03
2.202199999999999989e+02,8.680747343201625915e-03
2.211800000000000068e+02,1.290795660600372631e-02
2.221399999999999864e+02,1.888168441411977247e-02
2.231100000000000136e+02,2.578148529500557187e-02
2.240699999999999932e+02,3.227674060734342376e-02
2.250399999999999920e+02,3.699757574411926403e-02
2.260000000000000000e+02,3.916758714210374220e-02
2.269699999999999989e+02,3.887370774785482014e-02
2.279300000000000068e+02,3.657804076857663206e-02
2.288899999999999864e+02,3.254913237789548025e-02
2.298600000000000136e+02,2.752164597387017977e-02
2.308199999999999932e+02,2.255747156886361501e-02
2.317899999999999920e+02,1.867991689075583148e-02
2.327500000000000000e+02,1.632356246218516840e-02
2.337199999999999989e+02,1.544578391138931757e-02
2.346800000000000068e+02,1.543782605205804362e-02
2.356399999999999864e+02,1.541407878929162804e-02
2.366100000000000136e+02,1.486474789999897572e-02
2.375699999999999932e+02,1.395199406621606096e-02
2.385399999999999920e+02,1.311873461559492221e-02
2.395000000000000000e+02,1.264447707650208710e-02
2.404699999999999989e+02,1.242074473858132549e-02
2.414300000000000068e+02,1.240641497777478924e-02
2.423899999999999864e+02,1.235831694615487954e-02
2.433600000000000136e+02,1.209643740953476355e-02
2.443199999999999932e+02,1.167440419949300305e-02
2.452899999999999920e+02,1.119618878327240108e-02
2.462500000000000000e+02,1.057982661326269808e-02
2.472100000000000080e+02,9.707002426389327657e-03
2.481800000000000068e+02,8.604017860018962557e-03
2.491399999999999864e+02,7.443293199664091815e-03
2.501100000000000136e+02,6.505388600586946464e-03
2.510699999999999932e+02,5.907664944143380635e-03
2.520399999999999920e+02,5.568901539062676674e-03
2.530000000000000000e+02,5.331372771295974158e-03
2.539600000000000080e+02,4.988735699239187603e-03
2.549300000000000068e+02,4.588260288021006605e-03
2.558899999999999864e+02,4.241988144417749816e-03
2.568600000000000136e+02,3.940403521292481712e-03
2.578199999999999932e+02,3.603689229902020796e-03
2.587900000000000205e+02,3.111396683329946226e-03
2.597500000000000000e+02,2.402417381525650923e-03
2.607099999999999795e+02,1.700216996929498209e-03
2.616800000000000068e+02,1.324752000752655971e-03
2.626399999999999864e+02,1.479558329544053896e-03
2.636100000000000136e+02,2.122208101895192364e-03
2.645699999999999932e+02,2.946050050556326023e-03
2.655400000000000205e+02,3.634383830180161739e-03
2.665000000000000000e+02,4.126339536145698719e-03
2.674599999999999795e+02,4.554070966449312412e-03
2.684300000000000068e+02,5.084005450810878159e-03
2.693899999999999864e+02,5.611385560572351543e-03
2.703600000000000136e+02,5.851496772989923240e-03
2.713199999999999932e+02,5.737588507852035662e-03
2.722799999999999727e+02,5.440354742562294316e-03
2.732500000000000000e+02,5.229281997440331405e-03
2.742099999999999795e+02,5.688143113805529776e-03
2.751800000000000068e+02,7.105806981883356840e-03
2.761399999999999864e+02,9.163860983243036704e-03
2.771100000000000136e+02,1.127906560752566650e-02
2.780699999999999932e+02,1.294408276106349780e-02
2.790299999999999727e+02,1.401666746268675351e-02
2.800000000000000000e+02,1.462101565106045317e-02
2.809599999999999795e+02,1.508672585976021663e-02
2.819300000000000068e+02,1.582192258877957586e-02
2.828899999999999864e+02,1.695031055089907604e-02
2.838600000000000136e+02,1.811948429646996483e-02
2.848199999999999932e+02,1.902155747601810137e-02
2.857799999999999727e+02,1.972100699566028958e-02
2.867500000000000000e+02,2.038087774402483343e-02
2.877099999999999795e+02,2.114170242919779716e-02
2.886800000000000068e+02,2.221863798865640616e-02
2.896399999999999864e+02,2.382679925480200508e-02
2.906100000000000136e+02,2.588921814902243185e-02
2.915699999999999932e+02,2.800999467833944351e-02
2.925299999999999727e+02,2.958287189094195579e-02
2.935000000000000000e+02,3.022119887550838574e-02
2.944599999999999795e+02,3.015020971766376248e-02
2.954300000000000068e+02,2.995308778766580388e-02
2.963899999999999864e+02,3.015524829173747354e-02
2.973600000000000136e+02,3.082492952276964099e-02
2.983199999999999932e+02,3.175386574069555268e-02
2.992799999999999727e+02,3.233042457902332578e-02
3.002500000000000000e+02,3.214051665201724667e-02
3.012099999999999795e+02,3.104198118865924075e-02
3.021800000000000068e+02,2.921041039017424276e-02
3.031399999999999864e+02,2.702069381670275938e-02
3.041000000000000227e+02,2.469844449955233695e-02
3.050699999999999932e+02,2.249091747900579946e-02
3.060299999999999727e+02,2.060799252303675486e-02
3.070000000000000000e+02,1.899007691432444411e-02
3.079599999999999795e+02,1.732177556487227155e-02
3.089300000000000068e+02,1.539031749149981712e-02
3.098899999999999864e+02,1.328170932909685138e-02
3.108500000000000227e+02,1.115934684192362164e-02
3.118199999999999932e+02,9.222008092960577025e-03
3.127799999999999727e+02,7.565706690119078370e-03
3.137500000000000000e+02,6.252168674561874896e-03
3.147099999999999795e+02,5.151612167564178536e-03
3.156800000000000068e+02,4.186830495084085599e-03
3.166399999999999864e+02,3.405949758792092222e-03
3.176000000000000227e+02,2.944688653104642409e-03
3.185699999999999932e+02,2.839145263030995372e-03
3.195299999999999727e+02,3.071509141496246622e-03
3.205000000000000000e+02,3.597640134008189567e-03
3.214599999999999795e+02,4.261679284879636362e-03
3.224300000000000068e+02,4.921746523598026328e-03
3.233899999999999864e+02,5.457758173904057007e-03
3.243500000000000227e+02,5.807188198194331193e-03
3.253199999999999932e+02,5.845658202475196435e-03
3.262799999999999727e+02,5.430782855324167713e-03
3.272500000000000000e+02,4.746042042171039893e-03
3.282099999999999795e+02,4.110115046926908662e-03
3.291700000000000159e+02,3.811716374539200584e-03
3.301399999999999864e+02,3.950480669440468474e-03
3.311000000000000227e+02,4.477846744176675747e-03
3.320699999999999932e+02,5.228917086783063835e-03
3.330299999999999727e+02,6.197853126744829605e-03
3.340000000000000000e+02,7.386156611766464368e-03
3.349599999999999795e+02,8.643119440437076889e-03
3.359200000000000159e+02,9.785261727326875769e-03
3.368899999999999864e+02,1.064750350514251549e-02
3.378500000000000227e+02,1.136775293224334335e-02
3.388199999999999932e+02,1.230860488662824728e-02
3.397799999999999727e+02,1.360148334497940890e-02
3.407500000000000000e+02,1.513878176850779952e-02
3.417099999999999795e+02,1.660598927580924852e-02
3.426700000000000159e+02,1.781658038096892854e-02
3.436399999999999864e+02,1.884144599665451073e-02
3.446000000000000227e+02,1.998573564241137510e-02
3.455699999999999932e+02,2.135346289055817595e-02
3.465299999999999727e+02,2.289339989883849846e-02
3.475000000000000000e+02,2.454071888550360750e-02
3.484599999999999795e+02,2.639081591735263979e-02
3.494200000000000159e+02,2.895922554281426739e-02
3.503899999999999864e+02,3.246017838769760938e-02
3.513500000000000227e+02,3.664733168836286498e-02
3.523199999999999932e+02,4.089776891799657560e-02
3.532799999999999727e+02,4.453605448520336213e-02
3.542400000000000091e+02,4.731258950047926432e-02
3.552099999999999795e+02,4.935227165375307562e-02
3.561700000000000159e+02,5.113700757289289106e-02
3.571399999999999864e+02,5.318767915095753973e-02
3.581000000000000227e+02,5.586585670910080431e-02
3.590699999999999932e+02,5.916839640166095260e-02
3.600299999999999727e+02,6.268947547278974630e-02
3.609900000000000091e+02,6.573233912769818610e-02
3.619599999999999795e+02,6.765892704730011586e-02
3.629200000000000159e+02,6.825649631846575360e-02
3.638899999999999864e+02,6.790352946780599253e-02
3.648500000000000227e+02,6.711895751986632352e-02
3.658199999999999932e+02,6.627573320129932777e-02
3.667799999999999727e+02,6.547156835807482755e-02
3.677400000000000091e+02,6.453439358031209938e-02
3.687099999999999795e+02,6.312367704974573834e-02
3.696700000000000159e+02,6.131036581914448003e-02
3.706399999999999864e+02,5.946234597103625813e-02
3.716000000000000227e+02,5.782200239193321933e-02
3.725699999999999932e+02,5.628258467958813238e-02
3.735299999999999727e+02,5.456983440508764854e-02
3.744900000000000091e+02,5.246358412693105655e-02
3.754599999999999795e+02,5.009169292538040441e-02
3.764200000000000159e+02,4.759538122476014710e-02
3.773899999999999864e+02,4.534664737000402429e-02
3.783500000000000227e+02,4.356005882752774644e-02
3.793100000000000023e+02,4.219278070018976645e-02
3.802799999999999727e+02,4.100457546034504824e-02
3.812400000000000091e+02,3.995716959406657443e-02
3.822099999999999795e+02,3.905219116428634840e-02
3.831700000000000159e+02,3.819734584479111267e-02
3.841399999999999864e+02,3.712293658988214534e-02
3.851000000000000227e+02,3.558015047147101290e-02
3.860600000000000023e+02,3.363756262305492989e-02
3.870299999999999727e+02,3.173204127639198124e-02
3.879900000000000091e+02,3.028507227553813713e-02
3.889599999999999795e+02,2.946447241771565223e-02
3.899200000000000159e+02,2.903073399659392151e-02
3.908899999999999864e+02,2.848731185294234303e-02
3.918500000000000227e+02,2.730918376124570265e-02
3.928100000000000023e+02,2.540178172119592764e-02
3.937799999999999727e+02,2.323109664199830490e-02
3.947400000000000091e+02,2.142257135501596244e-02
3.957099999999999795e+02,2.022372756601207092e-02
3.966700000000000159e+02,1.939756983818046246e-02
3.976399999999999864e+02,1.856633143119914772e-02
3.986000000000000227e+02,1.756876393967496397e-02
3.995600000000000023e+02,1.637150610852735125e-02
4.005299999999999727e+02,1.508394692475549699e-02
4.014900000000000091e+02,1.386120148770708313e-02
4.024599999999999795e+02,1.264771916734074887e-02
4.034200000000000159e+02,1.134079164868851027e-02
4.043799999999999955e+02,9.896685792991067460e-03
4.053500000000000227e+02,8.524312951477902578e-03
4.063100000000000023e+02,7.392640793443819129e-03
4.072799999999999727e+02,6.485304479417331250e-03
4.082400000000000091e+02,5.683750150894169122e-03
4.092099999999999795e+02,4.927500883961096617e-03
4.101700000000000159e+02,4.293608967381974846e-03
4.111299999999999955e+02,3.884179210037867064e-03
4.121000000000000227e+02,3.714018563594689935e-03
4.130600000000000023e+02,3.766088507367698103e-03
4.140299999999999727e+02,3.890677426740517860e-03
4.149900000000000091e+02,3.979996327595409535e-03
4.159599999999999795e+02,4.045624105784807398e-03
4.169200000000000159e+02,4.132500912241659705e-03
4.178799999999999955e+02,4.223209280598770252e-03
4.188500000000000227e+02,4.224205767393335482e-03
4.198100000000000023e+02,3.927407087887181854e-03
4.207799999999999727e+02,3.268224055761273766e-03
4.217400000000000091e+02,2.592128818177992337e-03
4.227099999999999795e+02,2.341365021576110022e-03
4.236700000000000159e+02,2.774640286863552970e-03
4.246299999999999955e+02,3.611380423753040008e-03
4.256000000000000227e+02,4.369608629250133422e-03
4.265600000000000023e+02,4.879669517821443384e-03
4.275299999999999727e+02,5.197436525089632955e-03
4.284900000000000091e+02,5.481786137176178179e-03
4.294499999999999886e+02,5.959061206703176149e-03
4.304200000000000159e+02,6.642482727480425626e-03
4.313799999999999955e+02,7.242255497614260955e-03
4.323500000000000227e+02,7.558703212506566113e-03
4.333100000000000023e+02,7.672246566987370002e-03
4.342799999999999727e+02,7.835642331247606035e-03
4.352400000000000091e+02,8.267836899588966448e-03
4.361999999999999886e+02,8.939272508780677154e-03
4.371700000000000159e+02,9.864784180539239514e-03
4.381299999999999955e+02,1.103606317990144491e-02
4.391000000000000227e+02,1.222548946694522465e-02
4.400600000000000023e+02,1.329775136298703801e-02
4.410299999999999727e+02,1.422055427486738563e-02
4.419900000000000091e+02,1.483991994028613197e-02
4.429499999999999886e+02,1.511499240066556393e-02
4.439200000000000159e+02,1.525370055546577952e-02
4.448799999999999955e+02,1.538377716972136149e-02
4.458500000000000227e+02,1.563771288203540805e-02
4.468100000000000023e+02,1.603041288925079189e-02
4.477799999999999727e+02,1.647608108185688591e-02
4.487400000000000091e+02,1.678073937551758862e-02
4.496999999999999886e+02,1.696194558685278422e-02
4.506700000000000159e+02,1.709263974222049315e-02
4.516299999999999955e+02,1.741391550580755759e-02
4.526000000000000227e+02,1.781496635306201171e-02
4.535600000000000023e+02,1.793909211660073624e-02
4.545299999999999727e+02,1.759820942270346258e-02
4.554900000000000091e+02,1.685342677142074794e-02
4.564499999999999886e+02,1.586579607779171203e-02
4.574200000000000159e+02,1.510873277939256409e-02
4.583799999999999955e+02,1.491288803669470198e-02
4.593500000000000227e+02,1.531937043873085429e-02
4.603100000000000023e+02,1.608928982028252214e-02
4.612699999999999818e+02,1.694256321694689524e-02
4.622400000000000091e+02,1.755541663063772337e-02
4.631999999999999886e+02,1.794036930390098192e-02
4.641700000000000159e+02,1.832720267055113275e-02
4.651299999999999955e+02,1.904823805906730866e-02
4.661000000000000227e+02,2.020761535699560490e-02
4.670600000000000023e+02,2.169019121697388433e-02
4.680199999999999818e+02,2.321400198121240099e-02
4.689900000000000091e+02,2.484729997762702078e-02
4.699499999999999886e+02,2.672813371482987699e-02
4.709200000000000159e+02,2.907713379015575486e-02
4.718799999999999955e+02,3.193678422511447151e-02
4.728500000000000227e+02,3.526402556216005207e-02
4.738100000000000023e+02,3.868951207613590543e-02
4.747699999999999818e+02,4.181629114716809564e-02
4.757400000000000091e+02,4.486374425534172400e-02
4.766999999999999886e+02,4.852045781073539149e-02
4.776700000000000159e+02,5.336118013341623750e-02
4.786299999999999955e+02,5.916805956105426756e-02
4.796000000000000227e+02,6.522003263508276139e-02
4.805600000000000023e+02,7.057946142190499317e-02
4.815199999999999818e+02,7.440714965520803248e-02
4.824900000000000091e+02,7.645768088301996279e-02
4.834499999999999886e+02,7.677203737914596593e-02
4.844200000000000159e+02,7.535601560902523144e-02
4.853799999999999955e+02,7.204237421147205445e-02
4.863399999999999750e+02,6.697688095900009020e-02
4.873100000000000023e+02,6.100316718590904908e-02
4.882699999999999818e+02,5.519133339434832003e-02
4.892400000000000091e+02,5.017086450296061317e-02
4.901999999999999886e+02,4.592931144432649965e-02
4.911700000000000159e+02,4.220511748740714275e-02
4.921299999999999955e+02,3.870089448163449575e-02
4.930899999999999750e+02,3.548572282141572443e-02
4.940600000000000023e+02,3.290069572602741937e-02
4.950199999999999818e+02,3.092502732303633803e-02
4.959900000000000091e+02,2.938308330614172043e-02
4.969499999999999886e+02,2.820060435660948911e-02
4.979200000000000159e+02,2.740268509963263155e-02
4.988799999999999955e+02,2.688333302432881558e-02
4.998399999999999750e+02,2.628318130851265907e-02
5.008100000000000023e+02,2.537359939044215446e-02
5.017699999999999818e+02,2.422737291119718070e-02
5.027400000000000091e+02,2.304944130985418782e-02
5.036999999999999886e+02,2.195886370582743330e-02
5.046700000000000159e+02,2.086717733480400461e-02
5.056299999999999955e+02,1.951869210631038479e-02
5.065899999999999750e+02,1.802747067076233486e-02
5.075600000000000023e+02,1.687960209355996236e-02
5.085199999999999818e+02,1.642270588073306559e-02
5.094900000000000091e+02,1.650707041766549463e-02
5.104499999999999886e+02,1.649641783348130761e-02
5.114100000000000250e+02,1.563277255313839237e-02
5.123799999999999955e+02,1.374316692513833683e-02
5.133400000000000318e+02,1.138275637426318376e-02
5.143099999999999454e+02,9.505178762924124461e-03
5.152699999999999818e+02,8.735989202686620519e-03
5.162400000000000091e+02,8.934851475818614275e-03
5.172000000000000455e+02,9.482456057002446384e-03
5.181599999999999682e+02,9.783324893838735159e-03
5.191299999999999955e+02,9.317067319153264637e-03
5.200900000000000318e+02,7.974266275896250977e-03
5.210599999999999454e+02,6.185516339527550450e-03
5.220199999999999818e+02,4.709901852085967601e-03
5.229900000000000091e+02,3.939392999472604399e-03
5.239500000000000455e+02,3.809133929888311020e-03
5.249099999999999682e+02,4.021876843018113400e-03
5.258799999999999955e+02,4.213623358335482488e-03
5.268400000000000318e+02,4.138423692908115882e-03
