# wavenumber, intensity
2.009300000000000068e+02,3.589001953658504940e-02
2.019000000000000057e+02,3.643810044005124649e-02
2.028600000000000136e+02,3.714392381687937894e-02
2.038199999999999932e+02,3.888030091548119044e-02
2.047899999999999920e+02,4.220238936388751028e-02
2.057500000000000000e+02,4.691239471051447674e-02
2.067199999999999989e+02,5.187910253369114322e-02
2.076800000000000068e+02,5.563547358893448924e-02
2.086500000000000057e+02,5.739817153728878074e-02
2.096100000000000136e+02,5.751026913720853201e-02
2.105699999999999932e+02,5.725983298612034172e-02
2.115399999999999920e+02,5.798340524471938540e-02
2.125000000000000000e+02,6.026027288898785916e-02
2.134699999999999989e+02,6.373397445415762697e-02
2.144300000000000068e+02,6.758994470061331639e-02
2.154000000000000057e+02,7.031013489664664218e-02
2.163600000000000136e+02,7.163189583425923213e-02
2.173199999999999932e+02,7.241241289746085108e-02
2.182899999999999920e+02,7.388735067968356385e-02
2.192500000000000000e+02,7.692318561944673505e-02
2.202199999999999989e+02,8.135497296403319811e-02
2.211800000000000068e+02,8.616623254229539841e-02
2.221399999999999864e+02,9.034035862829502272e-02
2.231100000000000136e+02,9.319182206500371823e-02
2.240699999999999932e+02,9.469276110296581672e-02
2.250399999999999920e+02,9.440600537515994595e-02
2.260000000000000000e+02,9.177764138739037680e-02
2.269699999999999989e+02,8.640450129276133762e-02
2.279300000000000068e+02,7.930450343547686132e-02
2.288899999999999864e+02,7.183770296430180835e-02
2.298600000000000136e+02,6.537252154268827220e-02
2.308199999999999932e+02,6.043874331688121881e-02
2.317899999999999920e+02,5.649180291755333955e-02
2.327500000000000000e+02,5.261428290339114494e-02
2.337199999999999989e+02,4.843163050569852801e-02
2.346800000000000068e+02,4.416844041683045535e-02
2.356399999999999864e+02,4.032325646830003940e-02
2.366100000000000136e+02,3.672845160049834773e-02
2.375699999999999932e+02,3.328522560724433282e-02
2.385399999999999920e+02,2.988908266048952156e-02
2.395000000000000000e+02,2.650944446167115623e-02
2.404699999999999989e+02,2.339937239840932104e-02
2.414300000000000068e+02,2.091331905882168329e-02
2.423899999999999864e+02,1.922071492587403355e-02
2.433600000000000136e+02,1.823227912933210459e-02
2.443199999999999932e+02,1.759651532569482882e-02
2.452899999999999920e+02,1.713196260023640283e-02
2.462500000000000000e+02,1.672925131621611286e-02
2.472100000000000080e+02,1.649077711245673303e-02
2.481800000000000068e+02,1.640767125510864469e-02
2.491399999999999864e+02,1.621055023376546250e-02
2.501100000000000136e+02,1.555655815733817011e-02
2.510699999999999932e+02,1.442770644854599743e-02
2.520399999999999920e+02,1.319674445272787586e-02
2.530000000000000000e+02,1.228415516381909690e-02
2.539600000000000080e+02,1.218326618248413533e-02
2.549300000000000068e+02,1.295515420734538736e-02
2.558899999999999864e+02,1.401489371091282042e-02
2.568600000000000136e+02,1.465937786546546960e-02
2.578199999999999932e+02,1.445766838722718599e-02
2.587900000000000205e+02,1.340884073637577979e-02
2.597500000000000000e+02,1.190824412056984416e-02
2.607099999999999795e+02,1.057811666827048608e-02
2.616800000000000068e+02,1.011091587813600645e-02
2.626399999999999864e+02,1.080174116451548469e-02
2.636100000000000136e+02,1.221391296547803644e-02
2.645699999999999932e+02,1.354225982256435958e-02
2.655400000000000205e+02,1.436425562297284804e-02
2.665000000000000000e+02,1.460536647733621553e-02
2.674599999999999795e+02,1.449030121872813166e-02
2.684300000000000068e+02,1.440617950898282623e-02
2.693899999999999864e+02,1.460980655129674559e-02
2.703600000000000136e+02,1.485559717513025048e-02
2.713199999999999932e+02,1.477220596598536294e-02
2.722799999999999727e+02,1.414399827793174150e-02
2.732500000000000000e+02,1.308869884832509697e-02
2.742099999999999795e+02,1.195772412216339516e-02
2.751800000000000068e+02,1.105412912189498824e-02
2.761399999999999864e+02,1.060070511651803674e-02
2.771100000000000136e+02,1.059378818895957870e-02
2.780699999999999932e+02,1.085693961612041979e-02
2.790299999999999727e+02,1.109028890160630720e-02
2.800000000000000000e+02,1.111030918368140739e-02
2.809599999999999795e+02,1.103738467844913099e-02
2.819300000000000068e+02,1.102076578979386580e-02
2.828899999999999864e+02,1.115686718287408480e-02
2.838600000000000136e+02,1.141246249445125940e-02
2.848199999999999932e+02,1.159628612205591998e-02
2.857799999999999727e+02,1.149813651797197515e-02
2.867500000000000000e+02,1.097387678251661794e-02
2.877099999999999795e+02,9.921339558304652015e-03
2.886800000000000068e+02,8.630910247999145843e-03
2.896399999999999864e+02,7.806083757764850986e-03
2.906100000000000136e+02,7.809553635615756537e-03
2.915699999999999932e+02,8.489889389938793524e-03
2.925299999999999727e+02,9.266263145048438815e-03
2.935000000000000000e+02,9.246117308182965136e-03
2.944599999999999795e+02,8.108556662547559621e-03
2.954300000000000068e+02,6.318750293481952864e-03
2.963899999999999864e+02,4.789618497979305188e-03
2.973600000000000136e+02,4.260279500537745428e-03
2.983199999999999932e+02,4.837785881306673301e-03
2.992799999999999727e+02,5.928560246311988420e-03
3.002500000000000000e+02,6.710138818198319033e-03
3.012099999999999795e+02,6.611818003036285842e-03
3.021800000000000068e+02,5.400259929411900875e-03
3.031399999999999864e+02,3.534367357203695940e-03
3.041000000000000227e+02,1.870732138683936464e-03
3.050699999999999932e+02,1.154841550458757986e-03
3.060299999999999727e+02,1.825680796978780378e-03
3.070000000000000000e+02,3.619322294195579260e-03
3.079599999999999795e+02,5.788555240649307689e-03
3.089300000000000068e+02,7.580028064209315755e-03
3.098899999999999864e+02,8.573212114652773580e-03
3.108500000000000227e+02,8.719825867933269151e-03
3.118199999999999932e+02,8.275339080837338171e-03
3.127799999999999727e+02,7.693449696466947256e-03
3.137500000000000000e+02,7.189701048177335116e-03
3.147099999999999795e+02,6.996894546004198481e-03
3.156800000000000068e+02,7.242719412053308901e-03
3.166399999999999864e+02,7.956760920633959913e-03
3.176000000000000227e+02,8.936407881829335625e-03
3.185699999999999932e+02,9.876950232768693869e-03
3.195299999999999727e+02,1.056257070237172878e-02
3.205000000000000000e+02,1.099711583286149853e-02
3.214599999999999795e+02,1.125014297826604573e-02
3.224300000000000068e+02,1.158238378250788826e-02
3.233899999999999864e+02,1.224103280026163018e-02
3.243500000000000227e+02,1.305725308029934834e-02
3.253199999999999932e+02,1.342213813011411058e-02
