Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
3006.85,281
3005.89,323
3004.92,364
3003.96,393
3002.99,395
3002.03,388
3001.06,384
3000.10,382
2999.14,408
2998.17,461
2997.21,475
2996.24,452
2995.28,447
2994.32,464
2993.35,513
2992.39,549
2991.42,582
2990.46,651
2989.49,712
2988.53,735
2987.57,752
2986.60,743
2985.64,718
2984.67,722
2983.71,718
2982.74,719
2981.78,736
2980.82,761
2979.85,808
2978.89,854
2977.92,858
2976.96,841
2975.99,868
2975.03,918
2974.07,913
2973.10,884
2972.14,873
2971.17,859
2970.21,856
2969.25,882
2968.28,916
2967.32,959
2966.35,1001
2965.39,1005
2964.42,974
2963.46,945
2962.50,931
2961.53,941
2960.57,951
2959.60,949
2958.64,945
2957.67,949
2956.71,965
2955.75,989
2954.78,993
2953.82,960
2952.85,928
2951.89,939
2950.92,988
2949.96,1041
2949.00,1075
2948.03,1086
2947.07,1086
2946.10,1082
2945.14,1064
2944.17,1026
2943.21,1003
2942.25,1020
2941.28,1053
2940.32,1072
2939.35,1078
2938.39,1059
2937.43,1015
2936.46,993
2935.50,979
2934.53,958
2933.57,949
2932.60,942
2931.64,914
2930.68,859
2929.71,801
2928.75,769
2927.78,769
2926.82,768
2925.85,724
2924.89,668
2923.93,626
2922.96,594
2922.00,587
2921.03,598
2920.07,599
2919.10,586
2918.14,585
2917.18,614
2916.21,622
2915.25,548
2914.28,440
2913.32,396
2912.36,402
2911.39,411
2910.43,406
2909.46,401
2908.50,415
2907.53,452
2906.57,475
2905.61,460
2904.64,424
2903.68,400
2902.71,432
2901.75,490
2900.78,508
2899.82,478
2898.86,453
2897.89,478
2896.93,522
2895.96,524
2895.00,486
2894.03,465
2893.07,466
2892.11,456
2891.14,472
2890.18,512
2889.21,527
2888.25,515
2887.29,520
2886.32,575
2885.36,661
2884.39,704
2883.43,683
2882.46,677
2881.50,710
2880.54,728
2879.57,783
2878.61,863
2877.64,853
2876.68,778
2875.71,745
2874.75,773
2873.79,824
2872.82,847
2871.86,830
2870.89,780
2869.93,724
2868.96,706
2868.00,733
2867.04,784
2866.07,819
2865.11,803
2864.14,787
2863.18,817
2862.22,832
2861.25,793
2860.29,751
2859.32,758
2858.36,793
2857.39,810
2856.43,797
2855.47,789
2854.50,784
2853.54,740
2852.57,678
2851.61,614
2850.64,543
2849.68,492
2848.72,460
2847.75,415
2846.79,368
2845.82,348
2844.86,336
2843.89,299
2842.93,270
2841.97,274
2841.00,272
2840.04,252
2839.07,224
2838.11,174
2837.15,109
2836.18,61
2835.22,34
2834.25,9
2833.29,-19
2832.32,-32
2831.36,-17
2830.40,-1
2829.43,-5
2828.47,-20
2827.50,-31
2826.54,-22
2825.57,-37
2824.61,-98
2823.65,-127
2822.68,-68
2821.72,31
2820.75,90
2819.79,107
2818.82,92
2817.86,50
2816.90,17
2815.93,-5
2814.97,-6
2814.00,18
2813.04,11
2812.08,-27
2811.11,-32
2810.15,-3
2809.18,29
2808.22,67
2807.25,87
2806.29,64
2805.33,37
2804.36,26
2803.40,26
2802.43,26
2801.47,21
2800.50,24
2799.54,42
2798.58,53
2797.61,33
2796.65,10
2795.68,23
2794.72,39
2793.75,28
2792.79,22
2791.83,27
2790.86,19
2789.90,4
2788.93,-1
2787.97,8
2787.00,43
2786.04,97
2785.08,150
2784.11,187
2783.15,172
2782.18,85
2781.22,9
2780.26,-3
2779.29,18
2778.33,50
2777.36,74
2776.40,71
2775.43,29
2774.47,-13
2773.51,10
2772.54,76
2771.58,108
2770.61,76
2769.65,6
2768.68,-38
2767.72,-36
2766.76,-25
2765.79,-35
2764.83,-63
2763.86,-71
2762.90,-37
2761.93,0
2760.97,3
2760.01,4
2759.04,0
2758.08,0
2757.11,15
2756.15,5
2755.19,-27
2754.22,-39
2753.26,-17
2752.29,21
2751.33,49
2750.36,73
2749.40,100
2748.44,102
2747.47,68
2746.51,9
2745.54,-45
2744.58,-63
2743.61,-29
2742.65,31
2741.69,72
2740.72,72
2739.76,43
2738.79,0
2737.83,-36
2736.86,-60
2735.90,-83
2734.94,-88
2733.97,-56
2733.01,-17
2732.04,-19
2731.08,-39
2730.12,-34
2729.15,-5
2728.19,14
2727.22,26
2726.26,49
2725.29,61
2724.33,40
2723.37,9
2722.40,-2
2721.44,-3
2720.47,-38
2719.51,-72
2718.54,-49
2717.58,12
2716.62,73
2715.65,90
2714.69,61
2713.72,11
2712.76,-37
2711.79,-62
2710.83,-60
2709.87,-27
2708.90,-2
2707.94,-37
2706.97,-71
2706.01,-85
2705.05,-112
2704.08,-110
2703.12,-66
2702.15,-30
2701.19,-17
2700.22,-12
2699.26,-40
2698.30,-95
2697.33,-110
2696.37,-74
2695.40,-58
2694.44,-84
2693.47,-116
2692.51,-123
2691.55,-99
2690.58,-51
2689.62,2
2688.65,40
2687.69,42
2686.72,24
2685.76,30
2684.80,36
2683.83,27
2682.87,24
2681.90,-6
2680.94,-53
2679.98,-72
2679.01,-57
2678.05,-22
2677.08,18
2676.12,49
2675.15,42
2674.19,-1
2673.23,-35
2672.26,-58
2671.30,-84
2670.33,-94
2669.37,-84
2668.40,-83
2667.44,-102
2666.48,-108
2665.51,-68
2664.55,-12
2663.58,-2
2662.62,-33
2661.65,-49
2660.69,-35
2659.73,-43
2658.76,-60
2657.80,-23
2656.83,26
2655.87,55
2654.91,56
2653.94,27
2652.98,2
2652.01,1
2651.05,17
2650.08,39
2649.12,39
2648.16,3
2647.19,-49
2646.23,-65
2645.26,-33
2644.30,-5
2643.33,16
2642.37,67
2641.41,132
2640.44,163
2639.48,140
2638.51,74
2637.55,7
2636.58,-26
2635.62,-40
2634.66,-61
2633.69,-97
2632.73,-138
2631.76,-166
2630.80,-144
2629.83,-47
2628.87,85
2627.91,178
2626.94,186
2625.98,120
2625.01,31
2624.05,-24
2623.09,-25
2622.12,-21
2621.16,-47
2620.19,-68
2619.23,-74
2618.26,-71
2617.30,-64
2616.34,-40
2615.37,-19
2614.41,-43
2613.44,-102
2612.48,-124
2611.51,-98
2610.55,-68
2609.59,-36
2608.62,-7
2607.66,-12
2606.69,-48
2605.73,-91
2604.76,-102
2603.80,-69
2602.84,-32
2601.87,-20
2600.91,-26
2599.94,-46
2598.98,-60
2598.02,-56
2597.05,-61
2596.09,-82
2595.12,-78
2594.16,-50
2593.19,-24
2592.23,3
2591.27,20
2590.30,8
2589.34,-16
2588.37,-16
2587.41,0
2586.44,7
2585.48,5
2584.52,-23
2583.55,-91
2582.59,-137
2581.62,-125
2580.66,-67
2579.69,-3
2578.73,31
2577.77,10
2576.80,-40
2575.84,-66
2574.87,-60
2573.91,-35
2572.95,16
2571.98,45
2571.02,-5
2570.05,-71
2569.09,-64
