Created As Omnic File,PLAS 248
Raman Shift / cm-1,INT
3017.46,-2
3016.49,5
3015.53,6
3014.56,5
3013.60,5
3012.64,6
3011.67,5
3010.71,4
3009.74,1
3008.78,1
3007.81,6
3006.85,10
3005.89,9
3004.92,8
3003.96,7
3002.99,7
3002.03,9
3001.06,10
3000.10,11
2999.14,11
2998.17,10
2997.21,10
2996.24,12
2995.28,10
2994.32,5
2993.35,5
2992.39,7
2991.42,10
2990.46,13
2989.49,17
2988.53,21
2987.57,23
2986.60,22
2985.64,21
2984.67,19
2983.71,17
2982.74,15
2981.78,20
2980.82,28
2979.85,31
2978.89,33
2977.92,34
2976.96,36
2975.99,38
2975.03,40
2974.07,43
2973.10,46
2972.14,45
2971.17,44
2970.21,47
2969.25,52
2968.28,57
2967.32,61
2966.35,68
2965.39,72
2964.42,74
2963.46,76
2962.50,79
2961.53,83
2960.57,86
2959.60,90
2958.64,96
2957.67,103
2956.71,110
2955.75,117
2954.78,122
2953.82,126
2952.85,129
2951.89,133
2950.92,139
2949.96,150
2949.00,166
2948.03,182
2947.07,198
2946.10,217
2945.14,238
2944.17,264
2943.21,293
2942.25,324
2941.28,355
2940.32,388
2939.35,425
2938.39,457
2937.43,484
2936.46,514
2935.50,546
2934.53,573
2933.57,597
2932.60,620
2931.64,642
2930.68,660
2929.71,676
2928.75,689
2927.78,700
2926.82,711
2925.85,718
2924.89,720
2923.93,720
2922.96,726
2922.00,733
2921.03,736
2920.07,735
2919.10,736
2918.14,741
2917.18,750
2916.21,761
2915.25,770
2914.28,780
2913.32,790
2912.36,804
2911.39,822
2910.43,842
2909.46,861
2908.50,888
2907.53,929
2906.57,974
2905.61,1005
2904.64,1028
2903.68,1056
2902.71,1090
2901.75,1129
2900.78,1167
2899.82,1196
2898.86,1223
2897.89,1248
2896.93,1271
2895.96,1286
2895.00,1298
2894.03,1318
2893.07,1344
2892.11,1374
2891.14,1410
2890.18,1453
2889.21,1504
2888.25,1569
2887.29,1662
2886.32,1800
2885.36,1971
2884.39,2168
2883.43,2378
2882.46,2590
2881.50,2762
2880.54,2809
2879.57,2745
2878.61,2527
2877.64,2229
2876.68,1916
2875.71,1643
2874.75,1458
2873.79,1327
2872.82,1235
2871.86,1173
2870.89,1131
2869.93,1102
2868.96,1074
2868.00,1058
2867.04,1054
2866.07,1060
2865.11,1073
2864.14,1091
2863.18,1113
2862.22,1139
2861.25,1164
2860.29,1198
2859.32,1245
2858.36,1299
2857.39,1351
2856.43,1405
2855.47,1465
2854.50,1532
2853.54,1606
2852.57,1677
2851.61,1742
2850.64,1805
2849.68,1871
2848.72,1925
2847.75,1956
2846.79,1966
2845.82,1952
2844.86,1908
2843.89,1829
2842.93,1720
2841.97,1585
2841.00,1444
2840.04,1303
2839.07,1161
2838.11,1019
2837.15,885
2836.18,766
2835.22,660
2834.25,568
2833.29,491
2832.32,430
2831.36,378
2830.40,328
2829.43,285
2828.47,252
2827.50,223
2826.54,197
2825.57,174
2824.61,154
2823.65,137
2822.68,126
2821.72,118
2820.75,112
2819.79,105
2818.82,96
2817.86,88
2816.90,84
2815.93,80
2814.97,74
2814.00,68
2813.04,60
2812.08,54
2811.11,53
2810.15,51
2809.18,46
2808.22,43
2807.25,43
2806.29,42
2805.33,37
2804.36,33
2803.40,29
2802.43,28
2801.47,30
2800.50,31
2799.54,32
2798.58,30
2797.61,26
2796.65,21
2795.68,16
2794.72,15
2793.75,21
2792.79,22
2791.83,15
2790.86,9
2789.90,6
2788.93,7
2787.97,13
2787.00,18
2786.04,17
2785.08,14
2784.11,10
2783.15,5
2782.18,1
2781.22,-0
2780.26,2
2779.29,5
2778.33,4
2777.36,3
2776.40,-0
2775.43,-3
2774.47,-3
2773.51,-1
2772.54,-3
2771.58,-6
2770.61,-2
2769.65,1
2768.68,0
2767.72,0
2766.76,2
2765.79,3
2764.83,-1
2763.86,-4
2762.90,-4
2761.93,-1
2760.97,5
2760.01,11
2759.04,9
2758.08,4
2757.11,3
2756.15,3
2755.19,8
2754.22,14
2753.26,17
2752.29,19
2751.33,17
2750.36,16
2749.40,18
2748.44,21
2747.47,22
2746.51,21
2745.54,21
2744.58,23
2743.61,25
2742.65,27
2741.69,30
2740.72,33
2739.76,37
2738.79,42
2737.83,44
2736.86,47
2735.90,50
2734.94,55
2733.97,61
2733.01,67
2732.04,72
2731.08,78
2730.12,83
2729.15,90
2728.19,98
2727.22,107
2726.26,116
2725.29,123
2724.33,126
2723.37,125
2722.40,127
2721.44,132
2720.47,136
2719.51,141
2718.54,146
2717.58,150
2716.62,150
2715.65,145
2714.69,138
2713.72,131
2712.76,124
2711.79,119
2710.83,116
2709.87,113
2708.90,109
2707.94,99
2706.97,94
2706.01,93
2705.05,91
2704.08,87
2703.12,84
2702.15,80
2701.19,75
2700.22,69
2699.26,63
2698.30,58
2697.33,56
2696.37,55
2695.40,54
2694.44,53
2693.47,51
2692.51,49
2691.55,48
2690.58,47
2689.62,46
2688.65,43
2687.69,41
2686.72,41
2685.76,41
2684.80,39
2683.83,36
2682.87,36
2681.90,34
2680.94,26
2679.98,22
2679.01,26
2678.05,30
2677.08,29
2676.12,24
2675.15,23
2674.19,23
2673.23,24
2672.26,26
2671.30,19
2670.33,12
2669.37,15
2668.40,22
2667.44,22
2666.48,19
2665.51,19
2664.55,20
2663.58,18
2662.62,15
2661.65,14
2660.69,17
2659.73,18
2658.76,19
2657.80,20
2656.83,22
2655.87,26
2654.91,30
2653.94,30
2652.98,27
2652.01,27
2651.05,29
2650.08,30
2649.12,26
2648.16,21
2647.19,18
2646.23,17
2645.26,18
2644.30,19
2643.33,20
2642.37,22
2641.41,26
2640.44,28
2639.48,27
2638.51,23
2637.55,19
2636.58,16
2635.62,11
2634.66,8
2633.69,10
2632.73,13
2631.76,14
2630.80,15
2629.83,18
2628.87,21
2627.91,21
2626.94,20
2625.98,21
2625.01,22
2624.05,21
2623.09,21
2622.12,21
2621.16,20
2620.19,22
2619.23,24
2618.26,23
2617.30,19
2616.34,20
2615.37,24
2614.41,27
2613.44,29
2612.48,30
2611.51,30
2610.55,30
2609.59,30
2608.62,29
2607.66,24
2606.69,22
2605.73,23
2604.76,25
2603.80,26
2602.84,27
2601.87,28
2600.91,27
2599.94,26
2598.98,25
2598.02,23
2597.05,22
2596.09,24
2595.12,27
2594.16,27
2593.19,26
2592.23,23
2591.27,21
2590.30,25
2589.34,30
2588.37,31
2587.41,29
2586.44,26
2585.48,24
2584.52,22
2583.55,19
2582.59,17
2581.62,16
2580.66,18
2579.69,19
2578.73,20
2577.77,18
2576.80,15
2575.84,11
2574.87,10
2573.91,12
2572.95,13
2571.98,11
2571.02,8
2570.05,8
2569.09,8
2568.12,8
2567.16,8
2566.20,6
2565.23,5
2564.27,5
2563.30,6
2562.34,8
2561.37,9
2560.41,5
2559.45,1
2558.48,3
2557.52,5
2556.55,2
2555.59,0
2554.62,2
2553.66,4
2552.70,4
2551.73,3
2550.77,-0
2549.80,-4
2548.84,-4
2547.88,-1
2546.91,-0
2545.95,-1
2544.98,-2
2544.02,-2
2543.05,-1
2542.09,-2
2541.13,-2
2540.16,-0
2539.20,0
2538.23,-0
2537.27,-0
2536.30,-1
2535.34,-2
2534.38,-0
2533.41,1
2532.45,-2
2531.48,-4
2530.52,-4
2529.55,-3
2528.59,-4
2527.63,-3
2526.66,-1
2525.70,2
2524.73,1
2523.77,-3
2522.81,-3
2521.84,-0
2520.88,-2
2519.91,-6
2518.95,-8
2517.98,-11
2517.02,-11
2516.06,-9
2515.09,-8
2514.13,-8
2513.16,-8
2512.20,-7
2511.23,-7
2510.27,-6
2509.31,-6
2508.34,-8
2507.38,-9
2506.41,-8
2505.45,-8
2504.48,-8
2503.52,-6
2502.56,-4
2501.59,-2
2500.63,-3
2499.66,-5
2498.70,-6
2497.74,-5
2496.77,-4
2495.81,-3
2494.84,-1
2493.88,2
2492.91,2
2491.95,-1
2490.99,-1
2490.02,-0
2489.06,1
2488.09,1
2487.13,0
2486.16,-2
2485.20,-4
2484.24,-3
2483.27,1
2482.31,8
2481.34,11
2480.38,6
2479.41,-0
2478.45,-1
2477.49,2
2476.52,6
2475.56,9
2474.59,5
2473.63,-0
2472.66,-1
2471.70,1
2470.74,-2
2469.77,-5
2468.81,-2
2467.84,8
2466.88,9
2465.92,5
2464.95,2
