Created As Omnic File,PLAS 160
Raman Shift / cm-1,INT
3012.64,253
3011.67,263
3010.71,272
3009.74,279
3008.78,286
3007.81,299
3006.85,311
3005.89,318
3004.92,328
3003.96,343
3002.99,358
3002.03,374
3001.06,391
3000.10,407
2999.14,425
2998.17,444
2997.21,464
2996.24,487
2995.28,511
2994.32,537
2993.35,566
2992.39,593
2991.42,622
2990.46,655
2989.49,690
2988.53,725
2987.57,762
2986.60,801
2985.64,841
2984.67,886
2983.71,930
2982.74,977
2981.78,1032
2980.82,1093
2979.85,1152
2978.89,1213
2977.92,1283
2976.96,1358
2975.99,1432
2975.03,1508
2974.07,1595
2973.10,1687
2972.14,1777
2971.17,1870
2970.21,1969
2969.25,2076
2968.28,2187
2967.32,2298
2966.35,2406
2965.39,2511
2964.42,2626
2963.46,2743
2962.50,2853
2961.53,2963
2960.57,3070
2959.60,3173
2958.64,3274
2957.67,3374
2956.71,3477
2955.75,3580
2954.78,3682
2953.82,3775
2952.85,3865
2951.89,3965
2950.92,4083
2949.96,4208
2949.00,4334
2948.03,4468
2947.07,4612
2946.10,4769
2945.14,4937
2944.17,5112
2943.21,5299
2942.25,5500
2941.28,5708
2940.32,5908
2939.35,6095
2938.39,6261
2937.43,6405
2936.46,6523
2935.50,6616
2934.53,6677
2933.57,6712
2932.60,6728
2931.64,6724
2930.68,6707
2929.71,6683
2928.75,6651
2927.78,6616
2926.82,6593
2925.85,6574
2924.89,6544
2923.93,6512
2922.96,6471
2922.00,6428
2921.03,6392
2920.07,6361
2919.10,6338
2918.14,6325
2917.18,6322
2916.21,6321
2915.25,6326
2914.28,6341
2913.32,6371
2912.36,6415
2911.39,6462
2910.43,6510
2909.46,6559
2908.50,6612
2907.53,6669
2906.57,6726
2905.61,6786
2904.64,6846
2903.68,6897
2902.71,6952
2901.75,7002
2900.78,7038
2899.82,7063
2898.86,7087
2897.89,7121
2896.93,7154
2895.96,7170
2895.00,7174
2894.03,7185
2893.07,7208
2892.11,7246
2891.14,7302
2890.18,7373
2889.21,7459
2888.25,7570
2887.29,7730
2886.32,7965
2885.36,8278
2884.39,8661
2883.43,9039
2882.46,9333
2881.50,9518
2880.54,9490
2879.57,9280
2878.61,8846
2877.64,8310
2876.68,7808
2875.71,7376
2874.75,7063
2873.79,6839
2872.82,6688
2871.86,6589
2870.89,6525
2869.93,6491
2868.96,6474
2868.00,6483
2867.04,6509
2866.07,6544
2865.11,6580
2864.14,6628
2863.18,6698
2862.22,6769
2861.25,6829
2860.29,6895
2859.32,6978
2858.36,7071
2857.39,7165
2856.43,7261
2855.47,7369
2854.50,7496
2853.54,7638
2852.57,7776
2851.61,7905
2850.64,8008
2849.68,8085
2848.72,8096
2847.75,8003
2846.79,7810
2845.82,7508
2844.86,7102
2843.89,6591
2842.93,6021
2841.97,5427
2841.00,4836
2840.04,4261
2839.07,3722
2838.11,3223
2837.15,2779
2836.18,2404
2835.22,2081
2834.25,1802
2833.29,1565
2832.32,1367
2831.36,1203
2830.40,1066
2829.43,950
2828.47,851
2827.50,767
2826.54,695
2825.57,630
2824.61,569
2823.65,518
2822.68,479
2821.72,446
2820.75,413
2819.79,382
2818.82,352
2817.86,325
2816.90,304
2815.93,282
2814.97,258
2814.00,241
2813.04,228
2812.08,213
2811.11,194
2810.15,180
2809.18,170
2808.22,163
2807.25,155
2806.29,144
2805.33,130
2804.36,120
2803.40,114
2802.43,107
2801.47,99
2800.50,90
2799.54,84
2798.58,79
2797.61,75
2796.65,71
2795.68,67
2794.72,61
2793.75,51
2792.79,43
2791.83,40
2790.86,36
2789.90,31
2788.93,26
2787.97,22
2787.00,22
2786.04,25
2785.08,26
2784.11,22
2783.15,16
2782.18,12
2781.22,8
2780.26,4
2779.29,2
2778.33,4
2777.36,6
2776.40,7
2775.43,5
2774.47,0
2773.51,-0
2772.54,4
2771.58,7
2770.61,7
2769.65,5
2768.68,4
2767.72,7
2766.76,11
2765.79,14
2764.83,14
2763.86,14
2762.90,14
2761.93,16
2760.97,22
2760.01,29
2759.04,32
2758.08,36
2757.11,42
2756.15,47
2755.19,50
2754.22,53
2753.26,58
2752.29,65
2751.33,73
2750.36,82
2749.40,91
2748.44,98
2747.47,103
2746.51,106
2745.54,112
2744.58,120
2743.61,130
2742.65,143
2741.69,158
2740.72,173
2739.76,184
2738.79,196
2737.83,213
2736.86,234
2735.90,252
2734.94,270
2733.97,292
2733.01,314
2732.04,334
2731.08,353
2730.12,374
2729.15,396
2728.19,417
2727.22,435
2726.26,448
2725.29,454
2724.33,458
2723.37,460
2722.40,460
2721.44,456
2720.47,451
2719.51,445
2718.54,436
2717.58,424
2716.62,413
2715.65,401
2714.69,388
2713.72,374
2712.76,354
2711.79,328
2710.83,309
2709.87,299
2708.90,286
