Created As Omnic File,BIOL 012
Raman Shift / cm-1,INT
2996.24,610
2995.28,640
2994.32,677
2993.35,741
2992.39,796
2991.42,829
2990.46,874
2989.49,934
2988.53,991
2987.57,1043
2986.60,1073
2985.64,1078
2984.67,1093
2983.71,1133
2982.74,1190
2981.78,1239
2980.82,1278
2979.85,1319
2978.89,1360
2977.92,1402
2976.96,1444
2975.99,1493
2975.03,1544
2974.07,1569
2973.10,1581
2972.14,1610
2971.17,1633
2970.21,1645
2969.25,1671
2968.28,1701
2967.32,1736
2966.35,1771
2965.39,1785
2964.42,1792
2963.46,1796
2962.50,1782
2961.53,1767
2960.57,1736
2959.60,1710
2958.64,1719
2957.67,1717
2956.71,1684
2955.75,1660
2954.78,1650
2953.82,1626
2952.85,1610
2951.89,1627
2950.92,1668
2949.96,1723
2949.00,1777
2948.03,1820
2947.07,1860
2946.10,1903
2945.14,1941
2944.17,1970
2943.21,2010
2942.25,2085
2941.28,2178
2940.32,2258
2939.35,2325
2938.39,2376
2937.43,2412
2936.46,2435
2935.50,2438
2934.53,2433
2933.57,2429
2932.60,2405
2931.64,2346
2930.68,2268
2929.71,2191
2928.75,2122
2927.78,2069
2926.82,2014
2925.85,1928
2924.89,1838
2923.93,1763
2922.96,1692
2922.00,1635
2921.03,1580
2920.07,1522
2919.10,1486
2918.14,1481
2917.18,1475
2916.21,1442
2915.25,1390
2914.28,1336
2913.32,1283
2912.36,1256
2911.39,1261
2910.43,1268
2909.46,1271
2908.50,1283
2907.53,1307
2906.57,1318
2905.61,1307
2904.64,1287
2903.68,1290
2902.71,1338
2901.75,1386
2900.78,1403
2899.82,1400
2898.86,1406
2897.89,1444
2896.93,1490
2895.96,1495
2895.00,1473
2894.03,1483
2893.07,1518
2892.11,1538
2891.14,1576
2890.18,1633
2889.21,1667
2888.25,1669
2887.29,1679
2886.32,1725
2885.36,1796
2884.39,1842
2883.43,1834
2882.46,1811
2881.50,1810
2880.54,1818
2879.57,1861
2878.61,1930
2877.64,1927
2876.68,1853
2875.71,1799
2874.75,1783
2873.79,1774
2872.82,1735
2871.86,1670
2870.89,1602
2869.93,1528
2868.96,1460
