Created As Omnic File,PLAS 72
Raman Shift / cm-1,INT
3009.74,193
3008.78,198
3007.81,211
3006.85,226
3005.89,240
3004.92,254
3003.96,264
3002.99,274
3002.03,285
3001.06,297
3000.10,308
2999.14,319
2998.17,328
2997.21,336
2996.24,344
2995.28,359
2994.32,383
2993.35,406
2992.39,423
2991.42,437
2990.46,456
2989.49,485
2988.53,519
2987.57,550
2986.60,574
2985.64,596
2984.67,623
2983.71,655
2982.74,690
2981.78,717
2980.82,743
2979.85,779
2978.89,822
2977.92,862
2976.96,900
2975.99,940
2975.03,981
2974.07,1013
2973.10,1041
2972.14,1075
2971.17,1105
2970.21,1128
2969.25,1153
2968.28,1180
2967.32,1211
2966.35,1245
2965.39,1272
2964.42,1288
2963.46,1300
2962.50,1307
2961.53,1315
2960.57,1328
2959.60,1340
2958.64,1353
2957.67,1366
2956.71,1378
2955.75,1392
2954.78,1403
2953.82,1416
2952.85,1439
2951.89,1472
2950.92,1509
2949.96,1549
2949.00,1589
2948.03,1630
2947.07,1675
2946.10,1731
2945.14,1798
2944.17,1863
2943.21,1929
2942.25,2001
2941.28,2074
2940.32,2138
2939.35,2190
2938.39,2229
2937.43,2253
2936.46,2262
2935.50,2254
2934.53,2236
2933.57,2213
2932.60,2194
2931.64,2173
2930.68,2139
2929.71,2097
2928.75,2069
2927.78,2059
2926.82,2053
2925.85,2045
2924.89,2043
2923.93,2051
2922.96,2071
2922.00,2101
2921.03,2133
2920.07,2164
2919.10,2202
2918.14,2247
2917.18,2287
2916.21,2313
2915.25,2313
2914.28,2296
2913.32,2284
2912.36,2273
2911.39,2250
2910.43,2215
2909.46,2170
2908.50,2124
2907.53,2082
2906.57,2037
2905.61,1983
2904.64,1923
2903.68,1866
2902.71,1821
2901.75,1790
2900.78,1754
2899.82,1697
2898.86,1641
2897.89,1600
2896.93,1568
2895.96,1532
2895.00,1493
2894.03,1462
2893.07,1437
2892.11,1410
2891.14,1388
2890.18,1372
2889.21,1353
2888.25,1333
2887.29,1321
2886.32,1325
2885.36,1340
2884.39,1356
2883.43,1364
2882.46,1373
2881.50,1391
2880.54,1415
2879.57,1447
2878.61,1477
2877.64,1493
2876.68,1497
2875.71,1501
2874.75,1504
2873.79,1496
2872.82,1466
2871.86,1426
2870.89,1392
2869.93,1361
2868.96,1339
2868.00,1330
2867.04,1334
2866.07,1340
2865.11,1340
2864.14,1340
2863.18,1344
2862.22,1336
2861.25,1306
2860.29,1268
2859.32,1236
2858.36,1204
2857.39,1165
2856.43,1117
2855.47,1063
2854.50,1009
2853.54,951
2852.57,886
2851.61,817
2850.64,749
2849.68,687
2848.72,630
2847.75,571
2846.79,516
2845.82,471
2844.86,433
2843.89,395
2842.93,360
2841.97,330
2841.00,301
2840.04,270
2839.07,243
2838.11,219
2837.15,192
2836.18,164
2835.22,145
2834.25,136
2833.29,125
2832.32,110
2831.36,101
2830.40,99
2829.43,93
2828.47,84
2827.50,79
2826.54,82
2825.57,79
2824.61,65
2823.65,55
2822.68,62
2821.72,75
2820.75,83
2819.79,81
2818.82,67
2817.86,53
2816.90,47
2815.93,41
2814.97,33
2814.00,32
2813.04,31
2812.08,24
2811.11,17
2810.15,16
2809.18,19
2808.22,18
2807.25,7
2806.29,-5
2805.33,-7
2804.36,-9
2803.40,-12
2802.43,-15
2801.47,-15
2800.50,-14
2799.54,-14
2798.58,-14
2797.61,-14
2796.65,-15
2795.68,-13
2794.72,-13
2793.75,-19
2792.79,-21
2791.83,-16
2790.86,-13
2789.90,-14
2788.93,-16
2787.97,-16
2787.00,-12
2786.04,-4
2785.08,2
2784.11,3
2783.15,-2
2782.18,-10
2781.22,-16
2780.26,-17
2779.29,-13
2778.33,-7
2777.36,-1
2776.40,2
2775.43,-3
2774.47,-13
2773.51,-14
2772.54,-1
2771.58,7
2770.61,0
2769.65,-9
2768.68,-7
2767.72,-0
2766.76,-1
2765.79,-5
2764.83,-7
2763.86,-3
2762.90,12
2761.93,27
2760.97,29
2760.01,27
2759.04,31
2758.08,33
2757.11,31
2756.15,28
2755.19,32
2754.22,39
2753.26,45
2752.29,50
2751.33,53
2750.36,57
2749.40,68
2748.44,78
2747.47,80
2746.51,76
2745.54,68
2744.58,62
2743.61,65
2742.65,74
2741.69,88
2740.72,98
2739.76,101
2738.79,99
2737.83,97
2736.86,95
2735.90,90
2734.94,86
2733.97,90
2733.01,96
2732.04,91
2731.08,82
2730.12,77
2729.15,76
2728.19,78
2727.22,82
2726.26,86
2725.29,87
2724.33,80
2723.37,68
2722.40,66
2721.44,69
2720.47,60
2719.51,46
2718.54,48
2717.58,59
2716.62,70
2715.65,74
2714.69,69
2713.72,59
2712.76,52
2711.79,51
2710.83,48
2709.87,43
2708.90,43
2707.94,43
2706.97,41
2706.01,40
2705.05,35
2704.08,32
2703.12,36
2702.15,42
2701.19,43
2700.22,38
2699.26,34
2698.30,36
2697.33,38
2696.37,35
2695.40,33
2694.44,31
2693.47,28
2692.51,24
2691.55,25
2690.58,32
2689.62,37
2688.65,35
2687.69,29
2686.72,26
2685.76,29
2684.80,37
2683.83,41
2682.87,36
2681.90,24
2680.94,11
2679.98,3
2679.01,1
2678.05,5
2677.08,15
2676.12,26
2675.15,28
2674.19,23
2673.23,17
2672.26,11
2671.30,7
2670.33,5
2669.37,4
2668.40,2
2667.44,-2
2666.48,-5
2665.51,0
2664.55,9
2663.58,12
2662.62,9
2661.65,5
2660.69,3
2659.73,3
2658.76,6
2657.80,6
2656.83,1
2655.87,5
2654.91,12
2653.94,5
2652.98,-10
2652.01,-16
2651.05,-9
2650.08,-1
2649.12,1
2648.16,-4
2647.19,-14
2646.23,-22
2645.26,-25
2644.30,-21
2643.33,-9
2642.37,3
2641.41,8
2640.44,4
2639.48,-8
2638.51,-21
2637.55,-21
2636.58,-14
2635.62,-9
2634.66,-7
2633.69,-11
2632.73,-17
2631.76,-20
2630.80,-17
2629.83,-6
2628.87,9
2627.91,18
2626.94,16
2625.98,7
2625.01,-4
