Created As Omnic File,PLAS 240 532 nm 4 mW
Raman Shift / cm-1,INT
3015.53,27
3014.56,28
3013.60,33
3012.64,39
3011.67,37
3010.71,34
3009.74,37
3008.78,40
3007.81,42
3006.85,44
3005.89,45
3004.92,44
3003.96,43
3002.99,41
3002.03,42
3001.06,42
3000.10,40
2999.14,39
2998.17,39
2997.21,40
2996.24,43
2995.28,46
2994.32,49
2993.35,50
2992.39,48
2991.42,47
2990.46,49
2989.49,53
2988.53,58
2987.57,61
2986.60,62
2985.64,63
2984.67,67
2983.71,72
2982.74,79
2981.78,88
2980.82,97
2979.85,107
2978.89,114
2977.92,117
2976.96,117
2975.99,116
2975.03,115
2974.07,111
2973.10,106
2972.14,106
2971.17,107
2970.21,106
2969.25,108
2968.28,112
2967.32,116
2966.35,119
2965.39,119
2964.42,121
2963.46,125
2962.50,130
2961.53,136
2960.57,143
2959.60,148
2958.64,151
2957.67,154
2956.71,158
2955.75,163
2954.78,168
2953.82,171
2952.85,174
2951.89,178
2950.92,186
2949.96,194
2949.00,204
2948.03,213
2947.07,222
2946.10,236
2945.14,256
2944.17,277
2943.21,299
2942.25,325
2941.28,353
2940.32,384
2939.35,417
2938.39,447
2937.43,474
2936.46,503
2935.50,534
2934.53,561
2933.57,587
2932.60,610
2931.64,629
2930.68,643
2929.71,654
2928.75,666
2927.78,681
2926.82,690
2925.85,694
2924.89,697
2923.93,700
2922.96,704
2922.00,708
2921.03,710
2920.07,710
2919.10,709
2918.14,709
2917.18,708
2916.21,704
2915.25,706
2914.28,712
2913.32,718
2912.36,727
2911.39,738
2910.43,751
2909.46,767
2908.50,786
2907.53,809
2906.57,832
2905.61,850
2904.64,866
2903.68,886
2902.71,912
2901.75,936
2900.78,958
2899.82,974
2898.86,990
2897.89,1005
2896.93,1019
2895.96,1028
2895.00,1033
2894.03,1041
2893.07,1051
2892.11,1063
2891.14,1078
2890.18,1092
2889.21,1110
2888.25,1137
2887.29,1176
2886.32,1232
2885.36,1305
2884.39,1394
2883.43,1487
2882.46,1573
2881.50,1648
2880.54,1688
2879.57,1681
2878.61,1592
2877.64,1467
2876.68,1343
2875.71,1234
2874.75,1156
2873.79,1101
2872.82,1065
2871.86,1043
2870.89,1026
2869.93,1016
2868.96,1006
2868.00,1000
2867.04,993
2866.07,987
2865.11,980
2864.14,977
2863.18,982
2862.22,993
2861.25,1011
2860.29,1033
2859.32,1055
2858.36,1083
2857.39,1118
2856.43,1157
2855.47,1202
2854.50,1249
2853.54,1293
2852.57,1337
2851.61,1381
2850.64,1418
2849.68,1447
2848.72,1462
2847.75,1455
2846.79,1428
2845.82,1383
2844.86,1320
2843.89,1239
2842.93,1146
2841.97,1045
2841.00,943
2840.04,841
2839.07,745
2838.11,656
2837.15,573
2836.18,497
2835.22,432
2834.25,379
2833.29,333
2832.32,290
2831.36,256
2830.40,230
2829.43,207
2828.47,186
2827.50,168
2826.54,153
2825.57,140
2824.61,129
2823.65,119
2822.68,109
2821.72,102
2820.75,98
2819.79,94
2818.82,88
2817.86,81
2816.90,75
2815.93,70
2814.97,65
2814.00,62
2813.04,59
2812.08,56
2811.11,55
2810.15,54
2809.18,50
2808.22,48
2807.25,49
2806.29,48
2805.33,43
2804.36,38
2803.40,35
2802.43,34
2801.47,34
2800.50,35
2799.54,34
2798.58,34
2797.61,36
2796.65,38
2795.68,41
2794.72,44
2793.75,48
2792.79,51
2791.83,51
2790.86,50
2789.90,49
2788.93,47
2787.97,45
2787.00,42
2786.04,41
2785.08,39
2784.11,34
2783.15,28
2782.18,24
2781.22,19
2780.26,16
2779.29,12
2778.33,9
2777.36,7
2776.40,7
2775.43,7
2774.47,6
2773.51,6
2772.54,7
2771.58,6
2770.61,3
2769.65,-0
2768.68,-1
2767.72,0
2766.76,2
2765.79,3
2764.83,1
2763.86,0
2762.90,2
2761.93,4
2760.97,6
2760.01,7
2759.04,9
2758.08,11
2757.11,11
2756.15,10
2755.19,13
2754.22,16
2753.26,19
2752.29,20
2751.33,19
2750.36,18
2749.40,18
2748.44,19
2747.47,19
2746.51,19
2745.54,20
2744.58,21
2743.61,22
2742.65,24
2741.69,27
2740.72,29
2739.76,30
2738.79,31
2737.83,32
2736.86,33
2735.90,36
2734.94,39
2733.97,43
2733.01,46
2732.04,49
2731.08,53
2730.12,56
2729.15,59
2728.19,66
2727.22,73
2726.26,79
2725.29,83
2724.33,85
2723.37,87
2722.40,89
2721.44,92
2720.47,94
2719.51,95
2718.54,99
2717.58,104
2716.62,107
2715.65,107
2714.69,105
