Created As Omnic File, PLAS 244
Raman Shift / cm-1,INT
3008.78,104
3007.81,113
3006.85,138
3005.89,161
3004.92,179
3003.96,173
3002.99,146
3002.03,126
3001.06,117
3000.10,116
2999.14,134
2998.17,162
2997.21,159
2996.24,135
2995.28,127
2994.32,138
2993.35,177
2992.39,192
2991.42,186
2990.46,213
2989.49,276
2988.53,337
2987.57,357
2986.60,317
2985.64,281
2984.67,299
2983.71,319
2982.74,357
2981.78,428
2980.82,502
2979.85,556
2978.89,595
2977.92,627
2976.96,653
2975.99,669
2975.03,685
2974.07,711
2973.10,736
2972.14,772
2971.17,797
2970.21,812
2969.25,865
2968.28,952
2967.32,1058
2966.35,1154
2965.39,1211
2964.42,1254
2963.46,1292
2962.50,1309
2961.53,1330
2960.57,1333
2959.60,1318
2958.64,1308
2957.67,1284
2956.71,1237
2955.75,1197
2954.78,1153
2953.82,1072
2952.85,989
2951.89,952
2950.92,954
2949.96,948
2949.00,899
2948.03,820
2947.07,730
2946.10,637
2945.14,532
2944.17,439
2943.21,399
2942.25,407
2941.28,425
2940.32,426
2939.35,414
2938.39,410
2937.43,420
2936.46,437
2935.50,449
2934.53,491
2933.57,566
2932.60,610
2931.64,603
2930.68,584
2929.71,586
2928.75,618
2927.78,688
2926.82,757
2925.85,780
2924.89,771
2923.93,764
2922.96,762
2922.00,780
2921.03,818
2920.07,845
2919.10,860
2918.14,889
2917.18,946
2916.21,979
2915.25,935
2914.28,859
2913.32,848
2912.36,897
2911.39,980
2910.43,1059
2909.46,1125
2908.50,1209
2907.53,1324
2906.57,1417
2905.61,1436
2904.64,1412
2903.68,1420
2902.71,1490
2901.75,1564
2900.78,1586
2899.82,1569
2898.86,1550
2897.89,1559
2896.93,1590
2895.96,1603
2895.00,1582
2894.03,1569
2893.07,1589
2892.11,1639
2891.14,1729
2890.18,1823
2889.21,1881
2888.25,1907
2887.29,1963
2886.32,2102
2885.36,2284
2884.39,2409
2883.43,2449
2882.46,2483
2881.50,2550
2880.54,2600
2879.57,2670
2878.61,2723
2877.64,2659
2876.68,2531
2875.71,2448
2874.75,2432
2873.79,2448
2872.82,2445
2871.86,2415
2870.89,2379
2869.93,2326
2868.96,2267
2868.00,2252
2867.04,2277
2866.07,2273
2865.11,2184
2864.14,2075
2863.18,1998
2862.22,1894
2861.25,1723
2860.29,1560
2859.32,1478
2858.36,1445
2857.39,1413
2856.43,1372
2855.47,1363
2854.50,1371
2853.54,1341
2852.57,1293
2851.61,1242
2850.64,1183
2849.68,1144
2848.72,1133
2847.75,1118
2846.79,1098
2845.82,1100
2844.86,1113
2843.89,1105
2842.93,1101
2841.97,1124
2841.00,1121
2840.04,1079
2839.07,1017
2838.11,922
2837.15,800
2836.18,684
2835.22,585
2834.25,486
2833.29,379
2832.32,291
2831.36,240
2830.40,203
2829.43,158
2828.47,105
2827.50,62
2826.54,47
2825.57,22
2824.61,-33
2823.65,-77
2822.68,-70
2821.72,-6
2820.75,56
2819.79,82
2818.82,69
2817.86,7
2816.90,-60
2815.93,-99
2814.97,-78
2814.00,-33
2813.04,-36
2812.08,-87
2811.11,-113
2810.15,-97
2809.18,-64
2808.22,-24
2807.25,-13
2806.29,-53
2805.33,-107
2804.36,-128
2803.40,-121
2802.43,-113
2801.47,-118
2800.50,-114
2799.54,-91
2798.58,-70
2797.61,-75
2796.65,-88
2795.68,-80
2794.72,-60
2793.75,-45
2792.79,-30
2791.83,-17
2790.86,-20
2789.90,-33
2788.93,-38
2787.97,-31
2787.00,2
2786.04,53
2785.08,87
2784.11,79
2783.15,13
2782.18,-110
2781.22,-202
2780.26,-202
2779.29,-175
2778.33,-163
2777.36,-142
2776.40,-112
2775.43,-123
2774.47,-165
2773.51,-158
2772.54,-131
2771.58,-132
2770.61,-149
2769.65,-193
2768.68,-218
2767.72,-200
2766.76,-186
2765.79,-192
2764.83,-204
2763.86,-190
2762.90,-135
2761.93,-90
2760.97,-108
2760.01,-128
2759.04,-113
2758.08,-91
2757.11,-78
2756.15,-94
2755.19,-122
2754.22,-134
2753.26,-129
2752.29,-98
2751.33,-44
2750.36,20
2749.40,69
2748.44,75
2747.47,20
2746.51,-75
2745.54,-144
2744.58,-173
2743.61,-172
2742.65,-138
2741.69,-92
2740.72,-74
2739.76,-96
2738.79,-138
2737.83,-169
2736.86,-183
2735.90,-186
2734.94,-168
2733.97,-140
2733.01,-124
2732.04,-127
2731.08,-143
2730.12,-137
2729.15,-102
2728.19,-71
2727.22,-40
2726.26,4
2725.29,35
2724.33,21
2723.37,-14
2722.40,-33
2721.44,-49
2720.47,-77
2719.51,-89
2718.54,-50
2717.58,24
2716.62,93
2715.65,110
2714.69,71
2713.72,0
2712.76,-55
2711.79,-80
2710.83,-94
2709.87,-93
2708.90,-73
2707.94,-88
2706.97,-133
2706.01,-183
2705.05,-244
2704.08,-268
2703.12,-231
2702.15,-186
