Created As Omnic File,BIOL 016
Raman Shift / cm-1,INT
3418.58,-37
3417.61,-25
3416.65,-25
3415.68,-28
3414.72,-23
3413.76,-15
3412.79,-18
3411.83,-27
3410.86,-37
3409.90,-40
3408.94,-26
3407.97,-14
3407.01,-12
3406.04,-10
3405.08,-5
3404.11,-5
3403.15,-6
3402.19,0
3401.22,3
3400.26,-4
3399.29,-9
3398.33,-19
3397.36,-20
3396.40,-5
3395.44,-0
3394.47,-8
3393.51,-5
3392.54,9
3391.58,23
3390.61,32
3389.65,29
3388.69,11
3387.72,5
3386.76,5
3385.79,-2
3384.83,-3
3383.87,-0
3382.90,-3
3381.94,-12
3380.97,-14
3380.01,-11
3379.04,-21
3378.08,-32
3377.12,-23
3376.15,-2
3375.19,4
3374.22,6
3373.26,18
3372.29,21
3371.33,3
3370.37,-13
3369.40,-13
3368.44,-9
3367.47,-7
3366.51,-11
3365.54,-20
3364.58,-17
3363.62,-12
3362.65,-8
3361.69,-8
3360.72,-21
3359.76,-34
3358.80,-27
3357.83,-14
3356.87,-6
3355.90,-2
3354.94,-4
3353.97,-14
3353.01,-30
3352.05,-38
3351.08,-31
3350.12,-18
3349.15,-7
3348.19,-1
3347.22,0
3346.26,-8
3345.30,-14
3344.33,-7
3343.37,-8
3342.40,-18
3341.44,-21
3340.47,-16
3339.51,-6
3338.55,-3
3337.58,-10
3336.62,-20
3335.65,-28
3334.69,-32
3333.73,-32
3332.76,-28
3331.80,-18
3330.83,-14
3329.87,-28
3328.90,-48
3327.94,-52
3326.98,-39
3326.01,-30
3325.05,-23
3324.08,-23
3323.12,-27
3322.15,-24
3321.19,-18
3320.23,-14
3319.26,-15
3318.30,-19
3317.33,-20
3316.37,-22
3315.40,-27
3314.44,-28
3313.48,-29
3312.51,-28
3311.55,-18
3310.58,-13
3309.62,-11
3308.66,-13
3307.69,-27
3306.73,-29
3305.76,-17
3304.80,-16
3303.83,-28
3302.87,-31
3301.91,-29
3300.94,-26
3299.98,-18
3299.01,-10
3298.05,-4
3297.08,1
3296.12,-3
3295.16,-10
3294.19,-3
3293.23,8
3292.26,17
3291.30,15
3290.33,-3
3289.37,-19
3288.41,-26
3287.44,-32
3286.48,-35
3285.51,-35
3284.55,-34
3283.59,-30
3282.62,-17
3281.66,-5
3280.69,-1
3279.73,2
