Created As Omnic File,PLAS 252
Raman Shift / cm-1,INT
2992.39,259
2991.42,268
2990.46,290
2989.49,317
2988.53,337
2987.57,358
2986.60,372
2985.64,381
2984.67,405
2983.71,440
2982.74,486
2981.78,536
2980.82,590
2979.85,657
2978.89,735
2977.92,823
2976.96,919
2975.99,1020
2975.03,1133
2974.07,1277
2973.10,1437
2972.14,1596
2971.17,1764
2970.21,1957
2969.25,2174
2968.28,2397
2967.32,2621
2966.35,2830
2965.39,3009
2964.42,3164
2963.46,3316
2962.50,3479
2961.53,3635
2960.57,3748
2959.60,3804
2958.64,3794
2957.67,3736
2956.71,3639
2955.75,3558
2954.78,3522
2953.82,3509
2952.85,3535
2951.89,3563
2950.92,3542
2949.96,3459
2949.00,3287
2948.03,3054
2947.07,2770
2946.10,2479
2945.14,2182
2944.17,1929
2943.21,1744
2942.25,1616
2941.28,1529
2940.32,1468
2939.35,1433
2938.39,1428
2937.43,1452
2936.46,1502
2935.50,1573
2934.53,1672
2933.57,1803
2932.60,1941
2931.64,2077
2930.68,2214
2929.71,2360
2928.75,2515
2927.78,2678
2926.82,2816
2925.85,2911
2924.89,2977
2923.93,3023
2922.96,3031
2922.00,3016
2921.03,2995
2920.07,2962
2919.10,2925
2918.14,2900
2917.18,2895
2916.21,2889
2915.25,2857
2914.28,2824
2913.32,2862
2912.36,2955
2911.39,3082
2910.43,3242
2909.46,3451
2908.50,3701
2907.53,3966
2906.57,4206
2905.61,4371
2904.64,4468
2903.68,4493
2902.71,4481
2901.75,4437
2900.78,4341
2899.82,4240
2898.86,4145
2897.89,4084
2896.93,4055
2895.96,4044
2895.00,4052
2894.03,4111
2893.07,4224
2892.11,4372
2891.14,4567
2890.18,4795
2889.21,5028
2888.25,5256
2887.29,5487
2886.32,5723
2885.36,5948
2884.39,6119
2883.43,6203
2882.46,6213
2881.50,6180
2880.54,6093
2879.57,5962
2878.61,5769
2877.64,5490
2876.68,5168
2875.71,4877
2874.75,4646
2873.79,4463
2872.82,4314
2871.86,4206
2870.89,4166
2869.93,4169
2868.96,4199
2868.00,4257
2867.04,4305
2866.07,4293
2865.11,4169
2864.14,3956
2863.18,3667
2862.22,3313
2861.25,2895
2860.29,2485
2859.32,2153
2858.36,1887
2857.39,1686
2856.43,1528
2855.47,1419
2854.50,1353
2853.54,1302
2852.57,1267
2851.61,1248
2850.64,1252
2849.68,1292
2848.72,1359
2847.75,1435
2846.79,1540
2845.82,1694
2844.86,1875
2843.89,2059
2842.93,2256
2841.97,2471
2841.00,2659
2840.04,2807
2839.07,2868
2838.11,2819
2837.15,2682
2836.18,2477
2835.22,2235
2834.25,1970
2833.29,1694
2832.32,1441
2831.36,1218
2830.40,1024
2829.43,858
2828.47,724
2827.50,616
2826.54,538
2825.57,474
2824.61,415
2823.65,366
2822.68,333
2821.72,324
2820.75,317
2819.79,302
2818.82,279
2817.86,236
2816.90,181
2815.93,147
2814.97,147
2814.00,153
2813.04,130
2812.08,97
2811.11,88
2810.15,92
2809.18,93
2808.22,93
2807.25,83
2806.29,57
2805.33,34
2804.36,19
2803.40,12
2802.43,14
2801.47,29
2800.50,34
2799.54,22
2798.58,12
2797.61,11
2796.65,12
2795.68,22
2794.72,26
2793.75,10
2792.79,0
2791.83,5
2790.86,5
2789.90,2
2788.93,0
2787.97,3
2787.00,15
2786.04,34
2785.08,52
2784.11,65
2783.15,62
2782.18,42
2781.22,18
2780.26,-0
2779.29,-4
2778.33,4
2777.36,15
2776.40,23
2775.43,16
2774.47,6
2773.51,18
2772.54,37
2771.58,46
2770.61,47
2769.65,33
2768.68,14
2767.72,17
2766.76,35
2765.79,39
2764.83,23
2763.86,19
2762.90,52
2761.93,89
2760.97,87
2760.01,78
2759.04,80
2758.08,86
2757.11,102
2756.15,107
2755.19,94
2754.22,91
2753.26,109
2752.29,132
2751.33,140
2750.36,144
2749.40,157
2748.44,163
2747.47,159
