# wavenumber, intensity
2.009300000000000068e+02,3.980632643587137670e-02
2.019000000000000057e+02,3.361884636613195892e-02
2.028600000000000136e+02,2.446405223435220433e-02
2.038199999999999932e+02,1.887474619265541026e-02
2.047899999999999920e+02,2.071287208109692801e-02
2.057500000000000000e+02,2.905485621708005922e-02
2.067199999999999989e+02,3.832342119458027885e-02
2.076800000000000068e+02,4.261175510950755696e-02
2.086500000000000057e+02,4.009175593647699987e-02
2.096100000000000136e+02,3.189994179894599380e-02
2.105699999999999932e+02,2.131261233774739416e-02
2.115399999999999920e+02,1.316903804118750576e-02
2.125000000000000000e+02,1.028993397406698269e-02
2.134699999999999989e+02,1.357287442417504097e-02
2.144300000000000068e+02,2.031874631544577231e-02
2.154000000000000057e+02,2.569648619745312779e-02
2.163600000000000136e+02,2.642033440860206556e-02
2.173199999999999932e+02,2.242714061161991609e-02
2.182899999999999920e+02,1.668296588566275246e-02
2.192500000000000000e+02,1.354768946824084185e-02
2.202199999999999989e+02,1.710991980283046304e-02
2.211800000000000068e+02,2.765013710765136523e-02
2.221399999999999864e+02,4.190920760735957623e-02
2.231100000000000136e+02,5.655801843263057183e-02
2.240699999999999932e+02,6.829370670552564748e-02
2.250399999999999920e+02,7.532757671231114782e-02
2.260000000000000000e+02,7.777183307010310243e-02
2.269699999999999989e+02,7.674137994763798043e-02
2.279300000000000068e+02,7.389522933032416363e-02
2.288899999999999864e+02,6.930617952362813639e-02
2.298600000000000136e+02,6.255498245510725253e-02
2.308199999999999932e+02,5.361087739499871552e-02
2.317899999999999920e+02,4.394756016040706620e-02
2.327500000000000000e+02,3.496755714071807242e-02
2.337199999999999989e+02,2.733319508755523153e-02
2.346800000000000068e+02,2.205650827501232439e-02
2.356399999999999864e+02,1.957710574736986481e-02
2.366100000000000136e+02,1.966356156625334931e-02
2.375699999999999932e+02,2.174752269621816128e-02
2.385399999999999920e+02,2.427955050492044270e-02
2.395000000000000000e+02,2.606931125410432218e-02
2.404699999999999989e+02,2.591782562362561146e-02
2.414300000000000068e+02,2.429477424694216278e-02
2.423899999999999864e+02,2.289594415705932182e-02
2.433600000000000136e+02,2.372053219194963924e-02
2.443199999999999932e+02,2.793744608258011408e-02
2.452899999999999920e+02,3.394299303780005245e-02
2.462500000000000000e+02,4.014876665762379115e-02
2.472100000000000080e+02,4.451372047580769847e-02
2.481800000000000068e+02,4.627008923117618272e-02
2.491399999999999864e+02,4.471971086167042531e-02
2.501100000000000136e+02,4.102472699069260181e-02
2.510699999999999932e+02,3.751155093594730344e-02
2.520399999999999920e+02,3.575280151310239463e-02
2.530000000000000000e+02,3.630129476986162368e-02
2.539600000000000080e+02,3.975771070003503160e-02
2.549300000000000068e+02,4.611515789776955698e-02
2.558899999999999864e+02,5.286472608854372174e-02
2.568600000000000136e+02,5.613231749834422801e-02
2.578199999999999932e+02,5.409659620935144270e-02
2.587900000000000205e+02,4.794432495860558030e-02
2.597500000000000000e+02,4.147937182956257934e-02
2.607099999999999795e+02,3.703454035262696009e-02
2.616800000000000068e+02,3.655984778763881476e-02
2.626399999999999864e+02,3.930406824747117306e-02
2.636100000000000136e+02,4.332388793070518496e-02
2.645699999999999932e+02,4.706786343238397730e-02
2.655400000000000205e+02,5.098143016719169224e-02
2.665000000000000000e+02,5.511934348708867615e-02
2.674599999999999795e+02,5.881677067468710218e-02
2.684300000000000068e+02,6.126848228062907464e-02
2.693899999999999864e+02,6.055302905479358067e-02
2.703600000000000136e+02,5.629113307868586352e-02
2.713199999999999932e+02,5.037348287266436853e-02
2.722799999999999727e+02,4.516696310153407723e-02
2.732500000000000000e+02,4.258857492618380730e-02
2.742099999999999795e+02,4.352123273467878306e-02
2.751800000000000068e+02,4.811811368438950742e-02
2.761399999999999864e+02,5.526763401121766173e-02
2.771100000000000136e+02,6.284210348260310663e-02
2.780699999999999932e+02,6.908759665979803677e-02
2.790299999999999727e+02,7.334955528505036904e-02
2.800000000000000000e+02,7.539298241877083473e-02
2.809599999999999795e+02,7.485770813142061941e-02
2.819300000000000068e+02,7.254639325744856315e-02
2.828899999999999864e+02,6.954274269182052215e-02
2.838600000000000136e+02,6.597324505651239179e-02
2.848199999999999932e+02,6.107245310868185395e-02
2.857799999999999727e+02,5.513851412518962214e-02
2.867500000000000000e+02,4.931220637129313245e-02
2.877099999999999795e+02,4.531888727602172151e-02
2.886800000000000068e+02,4.463125027017421365e-02
2.896399999999999864e+02,4.732165511520806250e-02
2.906100000000000136e+02,5.177080938308693814e-02
2.915699999999999932e+02,5.588905087173096087e-02
2.925299999999999727e+02,5.677121347006699320e-02
2.935000000000000000e+02,5.302573438893009444e-02
2.944599999999999795e+02,4.597075162057773223e-02
2.954300000000000068e+02,3.904125508789457050e-02
2.963899999999999864e+02,3.545377714822372378e-02
2.973600000000000136e+02,3.722869005025026407e-02
2.983199999999999932e+02,4.415530472230310560e-02
2.992799999999999727e+02,5.190061840970012358e-02
3.002500000000000000e+02,5.467628873988082672e-02
3.012099999999999795e+02,4.874510631873082284e-02
3.021800000000000068e+02,3.565124725048741255e-02
3.031399999999999864e+02,2.124257059462361305e-02
3.041000000000000227e+02,1.214140413020825190e-02
3.050699999999999932e+02,1.295897546095602787e-02
3.060299999999999727e+02,2.375787108184258464e-02
3.070000000000000000e+02,3.965277338363498716e-02
3.079599999999999795e+02,5.336642043464674690e-02
3.089300000000000068e+02,6.065120026362792738e-02
3.098899999999999864e+02,6.153881333750235022e-02
3.108500000000000227e+02,5.754386536448392181e-02
3.118199999999999932e+02,5.158373903874934746e-02
3.127799999999999727e+02,4.557324280114347786e-02
3.137500000000000000e+02,4.047410366303294538e-02
3.147099999999999795e+02,3.663815921778820761e-02
3.156800000000000068e+02,3.525323723789974134e-02
3.166399999999999864e+02,3.736288451695300022e-02
3.176000000000000227e+02,4.301941309028747135e-02
3.185699999999999932e+02,5.001801162893363545e-02
3.195299999999999727e+02,5.608934018547896694e-02
3.205000000000000000e+02,6.010239376114791948e-02
3.214599999999999795e+02,6.211493486681751025e-02
3.224300000000000068e+02,6.272125328359798302e-02
3.233899999999999864e+02,6.151889090967141427e-02
3.243500000000000227e+02,5.800753168010586852e-02
3.253199999999999932e+02,5.180445197347981201e-02
3.262799999999999727e+02,4.384600589779102942e-02
3.272500000000000000e+02,3.620168263071309872e-02
3.282099999999999795e+02,3.145218836592851563e-02
3.291700000000000159e+02,3.074995410950142824e-02
3.301399999999999864e+02,3.236830680037613289e-02
3.311000000000000227e+02,3.434582703448384872e-02
3.320699999999999932e+02,3.538674256401672796e-02
3.330299999999999727e+02,3.626264024794055574e-02
3.340000000000000000e+02,3.767105565687318275e-02
3.349599999999999795e+02,3.943713502957951061e-02
3.359200000000000159e+02,4.137468510973918434e-02
3.368899999999999864e+02,4.284625085594414434e-02
3.378500000000000227e+02,4.366338364268491923e-02
3.388199999999999932e+02,4.467234810871661271e-02
3.397799999999999727e+02,4.726608532437514415e-02
3.407500000000000000e+02,5.157033212190727939e-02
3.417099999999999795e+02,5.624834371325192206e-02
3.426700000000000159e+02,5.958654070847374529e-02
3.436399999999999864e+02,5.969736704441984398e-02
3.446000000000000227e+02,5.563795310210378764e-02
3.455699999999999932e+02,4.785649085855067653e-02
3.465299999999999727e+02,3.821253220949211160e-02
3.475000000000000000e+02,2.915860319974357753e-02
3.484599999999999795e+02,2.547101192777129902e-02
3.494200000000000159e+02,3.076298513147811622e-02
3.503899999999999864e+02,4.452274195255914030e-02
3.513500000000000227e+02,6.112495309145148797e-02
3.523199999999999932e+02,7.379417626085994775e-02
3.532799999999999727e+02,7.710800273902086721e-02
3.542400000000000091e+02,6.960131964157316442e-02
3.552099999999999795e+02,5.460085917036416187e-02
3.561700000000000159e+02,3.927374606171912114e-02
3.571399999999999864e+02,2.995004983739409793e-02
3.581000000000000227e+02,2.841815296540252042e-02
3.590699999999999932e+02,3.223906161605864795e-02
3.600299999999999727e+02,3.866905652268350091e-02
3.609900000000000091e+02,4.400006014317817127e-02
3.619599999999999795e+02,4.591342765370837187e-02
3.629200000000000159e+02,4.428235718657756032e-02
3.638899999999999864e+02,4.046451834398292341e-02
3.648500000000000227e+02,3.596887841116787332e-02
3.658199999999999932e+02,3.202123054195912810e-02
3.667799999999999727e+02,2.938520515401974592e-02
3.677400000000000091e+02,2.847303361565111171e-02
3.687099999999999795e+02,2.881390760880113422e-02
3.696700000000000159e+02,3.027983493203509693e-02
3.706399999999999864e+02,3.254923752859139457e-02
3.716000000000000227e+02,3.510908155728199170e-02
3.725699999999999932e+02,3.721377955395011039e-02
3.735299999999999727e+02,3.682980294964700169e-02
3.744900000000000091e+02,3.336117043637100432e-02
3.754599999999999795e+02,2.897428941774633782e-02
3.764200000000000159e+02,2.767369318584105703e-02
3.773899999999999864e+02,3.194479858613344381e-02
3.783500000000000227e+02,4.077062206214545487e-02
3.793100000000000023e+02,5.022657062970471015e-02
3.802799999999999727e+02,5.691756187072887635e-02
3.812400000000000091e+02,5.997039201449019113e-02
3.822099999999999795e+02,6.015069625126330533e-02
3.831700000000000159e+02,5.940072334701734791e-02
3.841399999999999864e+02,5.756040473853017703e-02
3.851000000000000227e+02,5.230564512642953828e-02
3.860600000000000023e+02,4.433185001043225826e-02
3.870299999999999727e+02,3.686256845202206395e-02
3.879900000000000091e+02,3.439870291211990366e-02
3.889599999999999795e+02,3.771647628635803329e-02
3.899200000000000159e+02,4.396560311391197601e-02
3.908899999999999864e+02,4.925143670149711300e-02
3.918500000000000227e+02,5.100047550700410187e-02
3.928100000000000023e+02,4.816572703392058702e-02
3.937799999999999727e+02,4.180564857213246721e-02
3.947400000000000091e+02,3.496122957716274460e-02
3.957099999999999795e+02,3.032838801872770121e-02
3.966700000000000159e+02,2.982926228753338821e-02
3.976399999999999864e+02,3.389581823227861418e-02
3.986000000000000227e+02,4.149384378185210637e-02
3.995600000000000023e+02,5.000009397371547870e-02
4.005299999999999727e+02,5.508062631602361064e-02
4.014900000000000091e+02,5.519051291480835120e-02
4.024599999999999795e+02,5.152171638607221105e-02
4.034200000000000159e+02,4.646900026375335585e-02
4.043799999999999955e+02,4.268148360691172150e-02
4.053500000000000227e+02,4.126085161487505482e-02
4.063100000000000023e+02,4.053524922769192324e-02
4.072799999999999727e+02,3.842478750976529439e-02
4.082400000000000091e+02,3.392520068087157697e-02
4.092099999999999795e+02,2.855454015215056970e-02
4.101700000000000159e+02,2.501097926250718875e-02
4.111299999999999955e+02,2.524804362385170420e-02
4.121000000000000227e+02,2.937267532519539925e-02
4.130600000000000023e+02,3.578656940178178564e-02
4.140299999999999727e+02,4.198263240426752113e-02
4.149900000000000091e+02,4.689282172371592866e-02
4.159599999999999795e+02,5.013748354676812735e-02
4.169200000000000159e+02,5.080751614311806996e-02
4.178799999999999955e+02,4.803359998897419741e-02
4.188500000000000227e+02,4.306752763297196085e-02
4.198100000000000023e+02,3.824122551749786075e-02
4.207799999999999727e+02,3.480379227799160202e-02
4.217400000000000091e+02,3.307830955067382617e-02
4.227099999999999795e+02,3.335221160876111063e-02
4.236700000000000159e+02,3.523018235286387578e-02
4.246299999999999955e+02,3.769924777172641017e-02
4.256000000000000227e+02,3.984335208004521900e-02
4.265600000000000023e+02,4.217026659090271357e-02
4.275299999999999727e+02,4.350475600977572743e-02
4.284900000000000091e+02,4.260467575622227387e-02
4.294499999999999886e+02,3.899263935205780213e-02
4.304200000000000159e+02,3.397105985436654763e-02
4.313799999999999955e+02,3.156865312484592734e-02
4.323500000000000227e+02,3.299692831246350128e-02
4.333100000000000023e+02,3.749150320982765766e-02
4.342799999999999727e+02,4.206689550310610537e-02
4.352400000000000091e+02,4.359685025163067412e-02
4.361999999999999886e+02,4.117965832409929694e-02
4.371700000000000159e+02,3.733675982385684794e-02
4.381299999999999955e+02,3.669084714799169394e-02
4.391000000000000227e+02,4.148626323541390604e-02
4.400600000000000023e+02,5.068121546857402848e-02
4.410299999999999727e+02,5.966040404938991598e-02
4.419900000000000091e+02,6.522320950312364418e-02
4.429499999999999886e+02,6.842978064655198811e-02
4.439200000000000159e+02,6.961184469778364248e-02
4.448799999999999955e+02,6.934520994041427910e-02
4.458500000000000227e+02,6.724539857698745571e-02
4.468100000000000023e+02,6.419977308480023792e-02
4.477799999999999727e+02,6.090173419095860213e-02
4.487400000000000091e+02,5.804255255166850674e-02
4.496999999999999886e+02,5.668312877343630041e-02
4.506700000000000159e+02,5.761497214305793396e-02
4.516299999999999955e+02,6.111956526505878812e-02
4.526000000000000227e+02,6.536686399058690145e-02
4.535600000000000023e+02,6.800226288708489941e-02
4.545299999999999727e+02,6.731493912695907245e-02
